Protocol,Method,APCER,BPCER,ACER
1,Disentangle,1.7,0.8,1.3
1,SpoofTrace,0.8,1.3,1.1
1,CDCN,0.4,1.7,1
1,BCN,0,1.6,0.8
1,NAS-FAS,0.4,0,0.2
1,PatchNet,0,0,0
1,DSCE,0.6,0,0.3
1,CSDG-FAS,0.7,0.7,0.7
1,Ours,0.8,0.5,0.7
2,Disentangle,1.1,3.6,2.4
2,SpoofTrace,2.3,1.6,1.9
2,CDCN,1.5,1.4,1.5
2,BCN,2.6,0.8,1.7
2,NAS-FAS,1.5,0.8,1.2
2,DSCE,0.7,1.4,1.1
2,CSDG-FAS,1.2,1.2,1.2
2,Ours,1.3,1.1,1.2
3,Disentangle,2.8  ± 2.2,1.7  ± 2.6,2.2  ± 2.2
3,SpoofTrace,1.6  ± 1.6,4.0  ± 5.4,2.8  ± 3.3
3,CDCN,2.4  ± 1.3,2.2  ± 2.0,2.3  ± 1.4
3,BCN,2.8  ± 2.4,2.3  ± 2.8,2.5  ± 1.1
3,NAS-FAS,2.1  ± 1.3,1.4  ± 1.1,1.7  ± 0.6
3,PatchNet,1.8  ± 1.5,0.6  ± 1.2,1.2  ± 1.3
3,DSCE,1.5  ± 1.3,1.4  ± 1.3,1.5  ± 1.1
3,CSDG-FAS,0.8  ± 0.9,0.8  ± 0.9,0.8  ± 0.9
3,Ours,1.1  ± 0.7,0.7  ± 0.6,0.9  ± 0.7
4,Disentangle,5.4  ± 2.9,3.3  ± 6.0,4.4  ± 3.0
4,SpoofTrace,2.3  ± 3.6,5.2  ± 5.4,3.8  ± 4.2
4,CDCN,4.6  ± 4.6,9.2  ± 8.0,6.9  ± 2.9
4,BCN,2.9  ± 4.0,7.5  ± 6.9,5.2  ± 3.7
4,NAS-FAS,4.2  ± 5.3,1.7  ± 2.6,2.9  ± 2.8
4,PatchNet,2.5  ± 3.8,3.3  ± 3.7,2.9  ± 3.0
4,DSCE,4.2  ± 3.0,1.7  ± 2.6,3.0  ± 1.9
4,CSDG-FAS,1.9  ± 2.4,1.9  ± 2.4,1.9  ± 2.4
4,Ours,2.1  ± 2.7,1.6  ± 1.8,1.9  ± 2.1
